59265.2 11.1844133888 3.75263e-10 -1.55609e-11 4.03224e-15 5 1
59271.6 11.1844048457 1.71815e-10 -1.55678e-11 1.26259e-15 5 2
59278.7 11.1843952933 7.8084e-10 -1.55755e-11 8.51785e-15 11 3
59287.5 11.1843834825 6.9335e-10 -1.5582e-11 5.05035e-15 6 4
59297.7 11.1843696554 1.02142e-08 -1.55968e-11 6.40581e-14 7 5
59307.3 11.1843568449 1.05625e-09 -1.55737e-11 1.06203e-14 15 6
59315.9 11.1843452837 6.46798e-10 -1.55776e-11 8.1727e-15 9 7
59324.8 11.1843332216 7.36627e-10 -1.55694e-11 8.03918e-15 16 8
59334.5 11.1843201538 1.4098e-10 -1.55665e-11 1.1105e-15 26 9
59344.4 11.1843068359 2.98476e-10 -1.55639e-11 3.51803e-15 17 10
59353.2 11.1842950252 2.84625e-10 -1.55693e-11 1.8154e-15 9 11
59361.6 11.1842837174 9.99596e-10 -1.55532e-11 1.25247e-14 7 12
59369.8 11.1842726650 7.51477e-10 -1.55586e-11 9.23626e-15 8 13
59379.4 11.1842598486 1.99886e-10 -1.5569e-11 2.18079e-15 21 14
59388.7 11.1842472844 4.76784e-10 -1.55722e-11 3.91989e-15 17 15
59399.4 11.1842329612 2.93377e-10 -1.55669e-11 2.03771e-15 16 16
59410.2 11.1842184547 3.76102e-10 -1.55671e-11 2.73382e-15 13 17
59420.9 11.1842178707 9.22193e-10 -1.57602e-11 1.24658e-14 12 18
59427.7 11.1842085706 1.31594e-09 -1.5671e-11 1.69041e-14 17 19
59436.5 11.1841967828 9.11932e-10 -1.56564e-11 8.52056e-15 16 20
59446.8 11.1841828367 3.42457e-10 -1.56391e-11 2.99251e-15 23 21
59456.9 11.1841691020 2.28724e-10 -1.56362e-11 2.1451e-15 20 22
59469.9 11.1841516294 2.00405e-10 -1.56387e-11 1.29639e-15 25 23
59482.7 11.1841343108 7.58163e-10 -1.56378e-11 4.44549e-15 14 24
59494.1 11.1841189315 2.98009e-10 -1.56331e-11 2.54366e-15 17 25
59512.5 11.1840940023 1.35362e-10 -1.56322e-11 7.47638e-16 14 26
59532.2 11.1840674396 2.03289e-10 -1.56263e-11 8.26352e-16 15 27
59548.5 11.1840454790 4.42565e-10 -1.56268e-11 2.70284e-15 17 28
59562.8 11.1840260873 1.93725e-10 -1.56225e-11 1.61691e-15 17 29
59580.7 11.1840020095 1.11288e-10 -1.56171e-11 8.23973e-16 8 30
59609.8 11.1839627614 2.61608e-10 -1.56267e-11 4.1803e-15 5 31
59624.1 11.1839433677 1.10778e-09 -1.56068e-11 3.51805e-15 8 32
59648.9 11.1839099924 2.7299e-10 -1.56079e-11 1.78765e-15 11 33
59676 11.1838733897 1.73091e-10 -1.56035e-11 7.17225e-16 11 34
59704.4 11.1838351730 2.12573e-10 -1.55996e-11 8.16251e-16 18 35
59729.4 11.1838014205 1.32302e-10 -1.55946e-11 5.79974e-16 15 36
